,MLBID,PLAYERNAME
394,425647,D.J. Carrasco
395,485567,Ezequiel Carrera
396,468528,Joel Carreno
397,425206,Jamey Carroll
398,518533,Robert Carson
399,474892,Chris Carter
400,592200,Curt Casali
401,488768,Andrew Cashner
402,458210,Alexi Casilla
403,433586,Santiago Casilla
404,445001,Bobby Cassevah
405,543008,Alex Castellanos
406,592206,Nick Castellanos
407,624418,Ryan Castellani
408,650895,Diego Castillo
409,620454,Jose Castillo
410,622491,Luis Castillo
411,628329,Rusney Castillo
412,456078,Welington Castillo
413,605612,Harold Castro
414,488771,Jason Castro
415,612434,Miguel Castro
416,516770,Starlin Castro
417,650489,Willi Castro
418,595909,Jake Cave
419,656302,Dylan Cease
420,594555,Garin Cecchini
421,608325,Gavin Cecchini
422,446399,Brett Cecil
423,430592,Ronny Cedeno
424,458584,Xavier Cedeno
425,518542,Juan Centeno
426,465041,Francisco Cervelli
427,493316,Yoenis Cespedes
428,570666,Luis Cessa
429,468504,Jhoulys Chacin
430,605177,Andrew Chafin
431,518545,Adron Chambers
432,501955,Joba Chamberlain
433,644374,Yu-Cheng Chang
434,547973,Aroldis Chapman
435,656305,Matt Chapman
436,608638,J.T. Chargois
437,543022,Tyler Chatwood
438,346795,Endy Chavez
439,136767,Eric Chavez
440,445926,Jesse Chavez
441,656308,Michael Chavis
442,136600,Bruce Chen
443,612672,Wei-Yin Chen
444,455139,Robinson Chirinos
445,630023,Yonny Chirinos
446,502082,Lonnie Chisenhall
447,665862,Jazz Chisholm
448,329092,Randy Choate
449,574831,Michael Choice
450,596847,Ji-Man Choi
451,425783,Shin-Soo Choo
452,425562,Vinnie Chulk
453,643256,Adam Cimber
454,571561,Tony Cingrani
455,465674,Pedro Ciriaco
456,518553,Steve Cishek
457,542585,Jose Cisnero
458,624419,Nick Ciuffo
459,650644,Aaron Civale
460,664199,Taylor Clarke
461,661403,Emmanuel Clase
462,592222,Alex Claudio
463,459943,Jeff Clement
464,518560,Paul Clemens
465,521055,Maikel Cleto
466,502182,Steve Clevenger
467,605182,Mike Clevinger
468,461325,Tyler Clippard
469,543031,Tyler Cloyd
470,605183,Jason Coats
471,502171,Alex Cobb
472,621129,Kyle Cody
473,445193,Robert Coello
474,458085,Chris Coghlan
475,457435,Phil Coke
476,499624,Chris Colabello
477,595918,A.J. Cole
478,543037,Gerrit Cole
479,543038,Dusty Coleman
480,488786,Louis Coleman
481,518566,Taylor Cole
482,525768,Tim Collins
483,607385,Tyler Collins
484,641470,Zack Collins
485,518567,Josh Collmenter
486,517008,Alex Colome
487,112526,Bartolo Colon
488,518568,Christian Colon
489,502125,Tyler Colvin
490,624424,Michael Conforto
491,474233,Hank Conger
492,543045,Adam Conley
493,468429,Jose Constanza
494,425747,Jose Contreras
495,575929,Willson Contreras
496,661388,William Contreras
497,346871,Aaron Cook
498,475857,Ryan Cook
499,608641,Tim Cooney
500,476036,David Cooper
501,643265,Garrett Cooper
502,571578,Patrick Corbin
503,150188,Francisco Cordero
504,614173,Franchy Cordero
505,622772,Jimmy Cordero
506,641477,Ryan Cordell
507,642707,Allen Cordoba
508,449786,Carlos Corporan
509,621043,Carlos Correa
510,429781,Kevin Correia
511,641482,Nestor Cortes
512,543054,Jarred Cosart
513,453068,Mike Costanzo
514,571584,Caleb Cotham
515,605194,Jharel Cotton
516,425840,Neal Cotts
517,543056,Daniel Coulombe
518,592229,Dylan Covey
519,592230,Kaleb Cowart
520,518577,Collin Cowgill
521,543059,Zack Cox
522,446359,Zack Cozart
523,622226,Dylan Cozens
524,501800,Allen Craig
525,430884,Jesse Crain
526,572788,Tyler Cravy
527,543063,Brandon Crawford
528,408307,Carl Crawford
529,457751,Evan Crawford
530,641487,J.P. Crawford
531,592233,Stefan Crichton
532,605195,Kyle Crick
533,424825,Coco Crisp
534,676979,Garrett Crochet
535,543068,C.J. Cron
536,630105,Jake Cronenworth
537,605196,Kevin Cron
538,518582,Casey Crosby
539,543070,Aaron Crow
540,460067,Trevor Crowe
541,458501,Luis Cruz
542,443558,Nelson Cruz
543,665833,Oneil Cruz
544,462480,Rhiner Cruz
545,488810,Tony Cruz
546,150212,Michael Cuddyer
547,456501,Johnny Cueto
548,571595,Noel Cuevas
549,518586,Charlie Culberson
550,592238,Brandon Cumpton
551,592239,Todd Cunningham
552,595928,John Curtiss
553,400091,Jack Cust
554,596144,Cheslor Cuthbert
555,621311,David Dahl
556,666915,Bobby Dalbec
557,113028,Johnny Damon
558,433579,John Danks
559,458668,Jordan Danks
560,488818,Chase d'Arnaud
561,518595,Travis D'Arnaud
562,543083,James Darnell
563,506433,Yu Darvish
564,571602,Matt Davidson
565,434678,Kyle Davies
566,605200,Zach Davies
567,448801,Chris Davis
568,150277,Doug Davis
569,477195,Ike Davis
570,664041,Jaylin Davis
571,605204,J.D. Davis
572,641505,Jonathan Davis
573,501981,Khris Davis
574,434658,Rajai Davis
575,451584,Wade Davis
576,594795,Grant Dayton
577,602074,Yonathan Daza
578,621573,Austin Dean
579,457477,Alejandro De Aza
580,543094,Jaff Decker
581,465679,Samuel Deduno
582,518603,Justin De Fratus
583,594798,Jacob deGrom
584,430203,David DeJesus
585,474443,Ivan De Jesus
586,608328,Chase De Jong
587,657557,Paul DeJong
588,447755,Steve Delabar
589,451773,Dane de la Rosa
590,523989,Rubby de la Rosa
591,592254,Jose De Leon
592,517414,Randall Delgado
593,547170,Nick Delmonico
594,660853,Enyel De Los Santos
595,501745,Fautino De Los Santos
596,491688,Enerio Del Rosario
597,641513,Travis Demeritte
598,133225,Ryan Dempster
599,544925,Matt den Dekker
600,456121,Chris Denorfia
601,136660,Mark DeRosa
602,518614,Daniel Descalso
603,543101,Anthony DeSclafani
604,592261,Delino Deshields Jr.
605,435622,Ian Desmond
606,628333,Odrisamer Despaigne
607,672282,Reid Detmers
608,446321,Ross Detwiler
609,606965,Chris Devenski
610,646240,Rafael Devers
611,453301,Cole DeVries
612,455088,Blake Dewitt
613,539438,Scott Diamond
614,649557,Aledmys Diaz
615,621242,Edwin Diaz
616,553869,Elias Diaz
617,656371,Isan Diaz
618,545064,Jairo Diaz
619,501726,Juan Diaz
620,471822,Jumbo Diaz
621,650331,Lewin Diaz
622,429841,Matt Diaz
623,650490,Yandy Diaz
624,666783,Yusniel Diaz
625,543105,Alex Dickerson
626,447736,Chris Dickerson
627,572816,Corey Dickerson
628,285079,R.A. Dickey
629,505447,Brandon Dickson
630,518617,Jake Diekman
631,518618,Derek Dietrich
632,594694,Wilmer Difo
633,457422,Tim Dillard
634,664926,Nick Dini
635,543108,Andy Dirks
636,641525,Brandon Dixon
637,425785,Greg Dobbs
638,677976,Randy Dobnak
639,503569,Rafael Dolis
640,518625,Matt Dominguez
641,622554,Seranthony Dominguez
642,453228,Jason Donald
643,518626,Josh Donaldson
644,448281,Sean Doolittle
645,136734,Octavio Dotel
646,467094,Felix Doubront
647,425491,Ryan Doumit
648,445153,Darin Downs
649,669023,Jeter Downs
650,453303,Matt Downs
651,275933,Scott Downs
652,572821,Brian Dozier
653,641531,Hunter Dozier
654,475138,Kyle Drabek
655,543118,Oliver Drake
656,136770,J.D. Drew
657,452220,Stephen Drew
658,592273,Brandon Drury
659,643289,Mauricio Dubon
660,407113,Justin Duchscherer
661,446263,Lucas Duda
662,488846,Brian Duensing
663,608648,Tyler Duffey
664,518633,Danny Duffy
665,622110,Matt Duffy
666,621453,Steven Duggar
667,667498,Robert Dugger
668,435043,Zach Duke
669,623430,Ryan Dull
670,455167,Shelley Duncan
671,276055,Adam Dunn
672,641540,Dane Dunning
673,643290,Justin Dunn
674,445197,Mike Dunn
675,641541,Jon Duplantier
676,680776,Jarren Duran
677,239795,Chad Durbin
678,594807,Adam Duvall
679,502481,Jarrod Dyson
680,473879,Sam Dyson
681,594809,Adam Eaton
682,275930,David Eckstein
683,572831,Josh Edgin
684,669242,Tommy Edman
685,113744,Jim Edmonds
686,605218,Carl Edwards
687,621107,Zach Eflin
688,518649,Brett Eibner
689,595191,Jerad Eickhoff
690,455092,Scott Elbert
691,606273,Roenis Elias
692,454560,A.J. Ellis
693,407885,Mark Ellis
694,453056,Jacoby Ellsbury
695,518653,Jake Elmore
696,518655,John Ely
697,429665,Edwin Encarnacion
698,641553,Adam Engel
699,446264,Barry Enright
700,543135,Nathan Eovaldi
701,543136,Cody Eppley
702,572362,Robbie Erlin
703,640447,Phil Ervin
704,444876,Alcides Escobar
705,500871,Eduardo Escobar
706,488862,Yunel Escobar
707,664045,Tom Eshelman
708,659262,Anderson Espinoza
709,457787,Danny Espinosa
710,608032,Carlos Estevez
711,462136,Marco Estrada
712,642731,Thairo Estrada
713,444843,Andre Ethier
714,663770,Demarcus Evans
715,458701,Luis Exposito
716,664126,Peter Fairbanks
717,458252,Irving Falu
718,544727,Jeurys Familia
719,607188,Jacob Faria
720,571656,Buck Farmer
721,571657,Kyle Farmer
722,150035,Kyle Farnsworth
723,543144,Danny Farquhar
724,456544,Eric Farris
725,605227,Taylor Featherston
726,607200,Erick Fedde
727,543148,Tim Federowicz
728,444857,Scott Feldman
729,408230,Pedro Feliciano
730,593140,Michael Feliz
731,491703,Neftali Feliz
732,657571,Caleb Ferguson
733,605228,Jose Fernandez
734,628336,Jose Miguel Fernandez
735,518674,Chuckie Fick
736,451661,Josh Fields
737,608654,Johnny Field
738,425902,Prince Fielder
739,502272,Casey Fien
740,571666,Mike Fiers
741,543155,Stephen Fife
742,408210,Chone Figgins
743,471896,Pedro Figueroa
744,641571,Heath Fillmyer
745,605232,Brandon Finnegan
746,605233,Derek Fisher
747,450729,Doug Fister
748,656427,Jack Flaherty
749,475247,Ryan Flaherty
750,676596,Josh Fleming
751,664058,David Fletcher
752,435520,Jesus Flores
753,570717,Ramon Flores
754,527038,Wilmer Flores
755,465753,Pedro Florimon
756,571670,Dylan Floro
757,452095,Tyler Flowers
758,425856,Gavin Floyd
759,543169,Brian Flynn
760,592314,Mike Foltynewicz
761,521655,Wilmer Font
762,217915,Lew Ford
763,645801,Mike Ford
764,523253,Logan Forsythe
765,641582,Matt Foster
766,451594,Dexter Fowler
767,641583,Dustin Fowler
768,665650,Lucius Fox
769,641584,Jake Fraley
770,450204,Ben Francisco
771,407911,Frank Francisco
772,433585,Jeff Francis
773,425796,Jeff Francoeur
774,464433,Juan Francisco
775,596748,Maikel Franco
776,664034,Ty France
777,677551,Wander Franco
778,435623,Kevin Frandsen
779,545338,Nick Franklin
780,211041,Ryan Franklin
781,430630,Jason Frasor
782,624428,Adam Frazier
783,640449,Clint Frazier
784,453943,Todd Frazier
785,607536,Kyle Freeland
786,518692,Freddie Freeman
787,502273,Mike Freeman
788,518693,Sam Freeman
789,671289,Tyler Freeman
790,501896,David Freese
791,571679,David Freitas
792,516910,Carlos Frias
793,543184,Christian Friedrich
794,608331,Max Fried
795,457117,Ernesto Frieri
796,605240,Jace Fry
797,643316,Paul Fry
798,150118,Brian Fuentes
799,658069,Josh Fuentes
800,571681,Reymond Fuentes
801,493117,Kyuji Fujikawa
802,493120,Kosuke Fukudome
803,453539,Sam Fuld
804,608334,Carson Fulmer
805,605242,Michael Fulmer
806,518703,Charlie Furbush
807,279577,Rafael Furcal
808,451482,Armando Galarraga
809,595956,Cam Gallagher
810,451596,Yovani Gallardo
811,606149,Giovanny Gallegos
812,668678,Zac Gallen
813,543194,Isaac Galloway
814,608336,Joey Gallo
815,520471,Freddy Galvis
816,592325,Ben Gamel
817,451143,Mat Gamel
818,607231,John Gant
819,611177,Adonis Garcia
820,666969,Adolis Garcia
821,571685,Anthony Garcia
822,605244,Aramis Garcia
823,541645,Avisail Garcia
824,650530,Bryan Garcia
825,451600,Christian Garcia
826,665620,Deivi Garcia
827,658305,Edgar Garcia
828,150119,Freddy Garcia
829,594824,Greg Garcia
830,448802,Jaime Garcia
831,606424,Jarlin Garcia
832,676480,Jose Garcia
833,544725,Leury Garcia
834,472610,Luis Garcia
835,671277,Luis Garcia
836,596825,Robel Garcia
837,591994,Willy Garcia
838,554340,Yimi Garcia
839,458731,Brett Gardner
840,279782,Jon Garland
841,664247,Kyle Garlick
842,572863,Dustin Garneau
843,607237,Amir Garrett
844,666129,Braxton Garrett
845,641598,Mitch Garver
846,490063,Matt Garza
847,594828,Evan Gattis
848,429985,Chad Gaudin
849,592332,Kevin Gausman
850,543208,Sam Gaviglio
851,518715,Cory Gearrin
852,518716,Dillon Gee
853,544993,Steve Geltz
854,571697,Scooter Gennett
855,502226,Craig Gentry
856,595222,Michael Gerber
857,593334,Domingo German
858,542674,Gonzalez Germen
859,460051,Chris Getz
860,114739,Jason Giambi
861,543213,Johnny Giavotella
862,502043,Kyle Gibson
863,594027,Tayron Guerrero
864,669302,Logan Gilbert
865,571704,Ken Giles
866,543216,Conor Gillaspie
867,665926,Andres Gimenez
868,460269,Chris Gimenez
869,430591,Hector Gimenez
870,518725,Caleb Gindl
871,656464,Kevin Ginkel
872,608337,Lucas Giolito
873,571710,Mychal Givens
874,607192,Tyler Glasnow
875,136267,Troy Glaus
876,606983,Koda Glover
877,453232,Graham Godfrey
878,643327,Zack Godley
879,595963,Tyler Goeddel
880,627894,Luiz Gohara
881,572365,Ryan Goins
882,502671,Paul Goldschmidt
883,596295,Austin Gomber
884,430404,Jonny Gomes
885,543228,Yan Gomes
886,460576,Carlos Gomez
887,491646,Jeanmar Gomez
888,450855,Mauro Gomez
889,624427,Stephen Gonsalves
890,664062,Tony Gonsolin
891,408236,Adrian Gonzalez
892,136460,Alex Gonzalez
893,471868,Alberto Gonzalez
894,471865,Carlos Gonzalez
895,592346,Chi Chi Gonzalez
896,570481,Erik Gonzalez
897,461829,Gio Gonzalez
898,503556,Marwin Gonzalez
899,594835,Marco Gonzales
900,283166,Michael Gonzalez
901,456068,Miguel Gonzalez
902,646057,Miguel A. Gonzalez
903,605894,Severino Gonzalez
904,592348,Niko Goodrum
905,571718,Brian Goodwin
906,580792,Nick Goody
907,460086,Alex Gordon
908,543829,Dee Strange-Gordon
909,624503,Nick Gordon
910,669022,MacKenzie Gore
911,605253,Terrance Gore
912,571719,Darin Gorski
913,452733,Tom Gorzelanny
914,543238,Anthony Gose
915,488912,Tuffy Gosewisch
916,605254,Daniel Gossett
917,594838,Phil Gosselin
918,641627,Trevor Gott
919,666971,Lourdes Gurriel
920,493329,Yulieski Gurriel
921,594840,Matt Grace
922,434158,Curtis Granderson
923,518735,Yasmani Grandal
924,643335,Zack Granite
925,660813,Brusdar Graterol
926,608665,Kendall Graveman
927,592351,Jon Gray
928,680686,Josiah Gray
929,543243,Sonny Gray
930,643338,Chad Green
931,641632,Conner Greene
932,502205,Grant Green
933,668881,Hunter Greene
934,682985,Riley Greene
935,572888,Shane Greene
936,488919,Taylor Green
937,460022,Tyler Greene
938,502381,Luke Gregerson
939,276514,Kevin Gregg
940,544369,Didi Gregorius
941,606988,Grayson Greiner
942,425844,Zack Greinke
943,545341,Randal Grichuk
944,456167,A.J. Griffin
945,276351,Jason Grilli
946,518748,Justin Grimm
947,663757,Trent Grisham
948,666130,Jason Groome
949,543257,Robbie Grossman
950,607229,Robert Gsellman
951,648717,Alexander Guerrero
952,457915,Javy Guerra
953,448855,Junior Guerra
954,407825,Matt Guerrier
955,605260,Taylor Guerrieri
956,115223,Vladimir Guerrero
957,665489,Vladimir Guerrero Jr.
958,136722,Carlos Guillen
959,115229,Jose Guillen
960,641645,Luis Guillorme
961,594311,Jandel Gustave
962,425386,Jeremy Guthrie
963,429711,Franklin Gutierrez
964,642721,Kelvin Gutierrez
965,661269,Vladimir Gutierrez
966,446386,Brandon Guyer
967,461882,Jesus Guzman
968,608597,Ronald Guzman
969,448242,Tony Gwynn
970,576397,Jedd Gyorko
971,623352,Josh Hader
972,400098,Travis Hafner
973,444935,Nick Hagadone
974,664059,Sam Haggerty
975,534910,Jesse Hahn
976,150020,Jerry Hairston
977,430668,Scott Hairston
978,571735,David Hale
979,136880,Roy Halladay
980,407849,Bill Hall
981,664180,Matt Hall
982,430935,Cole Hamels
983,571740,Billy Hamilton
984,285078,Josh Hamilton
985,434628,Jason Hammel
986,641658,Garrett Hampson
987,543272,Brad Hand
988,571745,Mitch Haniger
989,452672,Ryan Hanigan
990,435219,Jack Hannahan
991,430629,Joel Hanrahan
992,641662,Alec Hansen
993,593700,Alen Hanson
994,462102,Tommy Hanson
995,664023,Ian Happ
996,457918,J.A. Happ
997,421685,Aaron Harang
998,425848,Rich Harden
999,543278,Blaine Hardy
1000,429666,J.J. Hardy
1001,429717,Dan Haren
1002,547180,Bryce Harper
1003,607560,Ryne Harper
1004,449173,Lucas Harrell
1005,543281,Josh Harrison
1006,457448,Matt Harrison
1007,656509,Monte Harrison
1008,501789,Will Harris
1009,430611,Corey Hart
1010,664129,Geoff Hartlieb
1011,640451,Hunter Harvey
1012,518774,Matt Harvey
1013,656514,Adam Haseley
1014,572910,Alexander Hassan
1015,501822,Chris Hatcher
1016,641672,Tom Hatch
1017,458704,Reese Havens
1018,115629,LaTroy Hawkins
1019,425547,Brad Hawpe
1020,663647,Ke'Bryan Hayes
1021,669720,Austin Hays
1022,571757,Jeremy Hazelbaker
1023,452104,Chase Headley
1024,592387,Ryon Healy
